id_parlamentar,casa,nome_eleitoral,partido,UF,twitter,seguidores,segue,n_proprio,n_retweet,engaj_total,engaj_total_proprio,engaj_total_retweet,engaj_mediano,engaj_mediano_proprio,engaj_mediano_retweet,engaj_max,engaj_max_proprio,engaj_max_retweet
204554,câmara,ABÍLIO SANTANA,PR,BA,AbilioSantana_,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204521,câmara,ABOU ANNI,PSL,SP,abouannipv,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204379,câmara,ACÁCIO FAVACHO,PROS,AP,FavachoAcacio,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204560,câmara,ADOLFO VIANA,PSDB,BA,AdolfoViana_,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204528,câmara,ADRIANA VENTURA,NOVO,SP,adrianasounovo,4652,315,99,9,7090,6701,389,26.5,22.5,0,1031,1031,99
121948,câmara,ADRIANO DO BALDY,PP,GO,AdrianoBaldy,NA,NA,0,0,0,0,0,0,0,0,0,0,0
74646,câmara,AÉCIO NEVES,PSDB,MG,AecioNeves,NA,NA,0,0,0,0,0,0,0,0,0,0,0
160508,câmara,AFONSO FLORENCE,PT,BA,AfonsoFlorence‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
136811,câmara,AFONSO HAMM,PP,RS,depafonsohamm,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178835,câmara,AFONSO MOTTA,PDT,RS,afonso_motta,NA,NA,0,0,0,0,0,0,0,0,0,0,0
160527,câmara,AGUINALDO RIBEIRO,PP,PB,aguinaldo1111,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204495,câmara,AIRTON FALEIRO,PT,PA,FALEIRO13,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204549,câmara,AJ ALBUQUERQUE,PP,CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178836,câmara,ALAN RICK,DEM,AC,Alan_Rick,3983,995,49,1,4286,284,4002,4,4,0,4002,38,4002
160559,câmara,ALCEU MOREIRA,MDB,RS,Alceu_Moreira,6370,434,214,30,6852,2239,4613,8,8,0,4227,136,4227
204413,câmara,ALCIDES RODRIGUES,PRP,GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204545,câmara,ALÊ SILVA,PSL,MG,oficialalesilva,464,267,39,4,10231,186,10045,4,4,0,8171,14,8171
204501,câmara,ALENCAR SANTANA BRAGA,PT,SP,AlencarBraga13,6447,3253,346,100,69348,47967,21381,16.5,12,0,12335,12335,8623
160511,câmara,ALESSANDRO MOLON,PSB,RJ,AlessandroMolon,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178972,câmara,ALEX MANENTE,PPS,SP,alexmanentepps,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204571,câmara,ALEX SANTANA,PDT,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204544,câmara,ALEXANDRE FROTA,PSL,SP,alefrotabrasil,161745,2015,830,169,566011,320063,245948,134,60,0,20348,7271,20348
160545,câmara,ALEXANDRE LEITE,DEM,SP,lexandreleite,1134,140,58,15,30,23,7,0,0,0,4,4,2
204503,câmara,ALEXANDRE PADILHA,PT,SP,padilhando,147085,1035,485,204,112251,89409,22842,49,27,0,3643,3643,3302
178833,câmara,ALEXANDRE SERFIOTIS,PSD,RJ,AleSerfiotis,880,41,1,1,2,1,1,1,0.5,0.5,1,1,1
204516,câmara,ALEXIS FONTEYNE,NOVO,SP,AlexisFonteyne,6417,384,201,95,39439,29860,9579,67,22,0,1834,1834,1575
74057,câmara,ALICE PORTUGAL,PCdoB,BA,Alice_Portugal,17686,2207,290,45,88433,9732,78701,12,8,0,27800,976,27800
178927,câmara,ALIEL MACHADO,PSB,PR,alielmachado,5067,957,70,50,75207,1126,74081,6,1.5,0,25704,191,25704
204353,câmara,ALINE GURGEL,PRB,AP,alinegurgel1000,4186,2381,139,108,8530,1198,7332,6,2,0,1129,149,1129
204400,câmara,ALINE SLEUTJES,PSL,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178937,câmara,ALTINEU CÔRTES,PR,RJ,Altineu,2221,118,21,0,10,10,0,0,0,0,4,4,0
178881,câmara,ALUISIO MENDES,PODE,MA,AluisioMendesMA,3318,57,22,1,56,53,3,2,2,0,8,8,3
204356,câmara,AMARO NETO,PRB,ES,amaronetotv,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178831,câmara,ANDRÉ ABDON,PP,AP,dep_andreabdon‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
74471,câmara,ANDRÉ DE PAULA,PSD,PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204423,câmara,ANDRÉ FERREIRA,PSC,PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133439,câmara,ANDRÉ FIGUEIREDO,PDT,CE,andrepdt12,6429,597,131,12,13238,9832,3406,37,31,0,2270,1089,2270
178882,câmara,ANDRÉ FUFUCA,PP,MA,DepAndreFufuca,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204515,câmara,ANDRÉ JANONES,AVANTE,MG,AndreJanonesAdv,2495,62,61,0,1643,1643,0,13,13,0,234,234,0
73696,câmara,ANGELA AMIN,PP,SC,angelaamin11,NA,NA,0,0,0,0,0,0,0,0,0,0,0
160553,câmara,ANTONIO BRITO,PSD,BA,antoniobritoba,NA,NA,0,0,0,0,0,0,0,0,0,0,0
73433,câmara,ARLINDO CHINAGLIA,PT,SP,achinaglia,7752,120,7,1,76,69,7,12,12,0,16,16,7
141391,câmara,ARNALDO JARDIM,PPS,SP,ArnaldoJardim,5482,505,130,44,6042,790,5252,4,3,0,4762,105,4762
204414,câmara,AROLDO MARTINS,PRB,PR,aroldomartins,1712,111,116,0,278,278,0,2,2,0,14,14,0
160541,câmara,ARTHUR LIRA,PP,AL,DEPArthurLira,NA,NA,0,0,0,0,0,0,0,0,0,0,0
160600,câmara,ARTHUR OLIVEIRA MAIA,DEM,BA,departhurmaia,NA,NA,0,0,0,0,0,0,0,0,0,0,0
159237,câmara,ASSIS CARVALHO,PT,PI,assis_carvalho,3997,472,188,88,84360,1540,82820,4,1,0,9014,478,9014
74090,câmara,ÁTILA LINS,PP,AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74459,câmara,ÁTILA LIRA,PSB,PI,deputadoatila,NA,NA,0,0,0,0,0,0,0,0,0,0,0
160665,câmara,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,augustocmelo ‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204509,câmara,ÁUREA CAROLINA,PSOL,MG,aureacarolinax,33960,2459,440,132,233521,145508,88013,68.5,33.5,0,49238,49238,13382
160512,câmara,AUREO RIBEIRO,SOLIDARIEDADE,RJ,DeputadoAureo,NA,NA,0,0,0,0,0,0,0,0,0,0,0
69871,câmara,BACELAR,PODE,BA,DeputadoBacelar,8168,1790,1682,318,306591,5712,300879,3,2,0,8916,115,8916
178975,câmara,BALEIA ROSSI,MDB,SP,baleia_rossi,NA,NA,0,0,0,0,0,0,0,0,0,0,0
73701,câmara,BENEDITA DA SILVA,PT,RJ,dasilvabenedita ‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
109429,câmara,BENES LEOCÁDIO,PRB,RN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141335,câmara,BETO FARO,PT,PA,BetoFaroPT ‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204358,câmara,BETO PEREIRA,PSDB,MS,betopereirams,47,204,56,4,159,152,7,1,1,0,59,59,3
178948,câmara,BETO ROSADO,PP,RN,betorosado,NA,NA,0,0,0,0,0,0,0,0,0,0,0
207176,câmara,BIA CAVASSA,PSDB,MS,BiaCavassa,38,8,3,2,15,6,9,2,2,0,8,2,8
204374,câmara,BIA KICIS,PSL,DF,Biakicis,81544,742,368,625,1893839,717602,1176237,773,0,202,52614,27501,52614
204388,câmara,BIBO NUNES,PSL,RS,bibonunes1,NA,NA,0,0,0,0,0,0,0,0,0,0,0
