id_parlamentar,casa,nome_eleitoral,partido,UF,tem twitter?,twitter,twitter2 (se houver),facebook (não conferido),nome_civil,fazendo
204554,câmara,ABÍLIO SANTANA,PR,BA,sim,AbilioSantana_,NA,https://www.facebook.com/pastorabiliosantana/,JOSE ABILIO SILVA DE SANTANA,feito
204521,câmara,ABOU ANNI,PSL,SP,sim,abouannipv,NA,NA,PAULO SERGIO ABOU ANNI,feito
204379,câmara,ACÁCIO FAVACHO,PROS,AP,sim,FavachoAcacio,AcacioFavacho,NA,ACÁCIO DA SILVA FAVACHO NETO,feito
204560,câmara,ADOLFO VIANA,PSDB,BA,sim,AdolfoViana_,NA,NA,ADOLFO VIANA DE CASTRO NETO,feito
204528,câmara,ADRIANA VENTURA,NOVO,SP,sim,adrianasounovo,NA,NA,ADRIANA MIGUEL VENTURA,feito
121948,câmara,ADRIANO DO BALDY,PP,GO,sim,AdrianoBaldy,NA,NA,ADRIANO ANTÔNIO AVELAR,feito
74646,câmara,AÉCIO NEVES,PSDB,MG,sim,AecioNeves,NA,NA,AÉCIO NEVES DA CUNHA,feito
160508,câmara,AFONSO FLORENCE,PT,BA,sim,AfonsoFlorence‏,NA,https://www.facebook.com/afonsoflorence13,AFONSO BANDEIRA FLORENCE,feito
136811,câmara,AFONSO HAMM,PP,RS,sim,depafonsohamm,NA,https://www.facebook.com/depafonsohamm,JOSÉ ALFONSO EBERT HAMM,feito
178835,câmara,AFONSO MOTTA,PDT,RS,sim,afonso_motta,NA,https://www.facebook.com/AfonsoMottaOpina,AFONSO ANTUNES DA MOTTA,feito
160527,câmara,AGUINALDO RIBEIRO,PP,PB,sim,aguinaldo1111,depaguinaldo11,https://www.facebook.com/Aguinaldo-Ribeiro-139579162731192,AGUINALDO VELLOSO BORGES RIBEIRO,feito
204495,câmara,AIRTON FALEIRO,PT,PA,sim,FALEIRO13,FaleiroAirton,NA,AIRTON LUIZ FALEIRO,feito
204549,câmara,AJ ALBUQUERQUE,PP,CE,não,NA,NA,https://www.facebook.com/antonijose.11,ANTONIO JOSE AGUIAR ALBUQUERQUE,italo
178836,câmara,ALAN RICK,DEM,AC,sim,Alan_Rick,NA,https://www.facebook.com/deputadoalanrick,ALAN RICK MIRANDA,feito
160559,câmara,ALCEU MOREIRA,MDB,RS,sim,Alceu_Moreira,NA,https://www.facebook.com/depalceumoreira,ALCEU MOREIRA DA SILVA,feito
204413,câmara,ALCIDES RODRIGUES,PRP,GO,não,NA,NA,NA,ALCIDES RODRIGUES FILHO,nazareno
204545,câmara,ALÊ SILVA,PSL,MG,sim,oficialalesilva,NA,NA,ALESSANDRA DA SILVA,feito
204501,câmara,ALENCAR SANTANA BRAGA,PT,SP,sim,AlencarBraga13,NA,NA,ALENCAR SANTANA BRAGA,nazareno
160511,câmara,ALESSANDRO MOLON,PSB,RJ,sim,AlessandroMolon,NA,https://www.facebook.com/MolonRJ,ALESSANDRO LUCCIOLA MOLON,feito
178972,câmara,ALEX MANENTE,PPS,SP,sim,alexmanentepps,NA,https://www.facebook.com/alexmanentesbc,ALEX SPINELLI MANENTE,feito
204571,câmara,ALEX SANTANA,PDT,BA,não,NA,NA,https://www.facebook.com/depalexsantana/,ALEX MARCO SANTANA SOUSA,feito
204544,câmara,ALEXANDRE FROTA,PSL,SP,sim,alefrotabrasil,NA,NA,ALEXANDRE FROTA DE ANDRADE,feito
160545,câmara,ALEXANDRE LEITE,DEM,SP,sim,lexandreleite,NA,https://www.facebook.com/DeputadoFederalAlexandreLeite,ALEXANDRE LEITE DA SILVA,feito
204503,câmara,ALEXANDRE PADILHA,PT,SP,sim,padilhando,NA,NA,ALEXANDRE ROCHA SANTOS PADILHA,feito
178833,câmara,ALEXANDRE SERFIOTIS,PSD,RJ,sim,AleSerfiotis,NA,https://www.facebook.com/alexandreserfiotis,ALEXANDRE AUGUSTUS SERFIOTIS,feito
204516,câmara,ALEXIS FONTEYNE,NOVO,SP,sim,AlexisFonteyne,NA,NA,ALEXIS JOSEPH STEVERLYNCK FONTEYNE,feito
74057,câmara,ALICE PORTUGAL,PCdoB,BA,sim,Alice_Portugal,NA,https://www.facebook.com/deputadaaliceportugal,ALICE MAZZUCO PORTUGAL,feito
178927,câmara,ALIEL MACHADO,PSB,PR,sim,alielmachado,NA,https://www.facebook.com/Alielmachadooficial,ALIEL MACHADO BARK,feito
204353,câmara,ALINE GURGEL,PRB,AP,sim,alinegurgel1000,NA,NA,ALINE PARANHOS VARONIL GURGEL,feito
204400,câmara,ALINE SLEUTJES,PSL,PR,não,NA,NA,https://www.facebook.com/alinesleutjes/,ALINE SLEUTJES,feito
178937,câmara,ALTINEU CÔRTES,PR,RJ,sim,Altineu,NA,https://www.facebook.com/altineu,ALTINEU CÔRTES FREITAS COUTINHO,nazareno
178881,câmara,ALUISIO MENDES,PODE,MA,sim,AluisioMendesMA,NA,https://www.facebook.com/AluisioMendesOficial,ALUISIO GUIMARAES MENDES FILHO,nazareno
178881,câmara,ALUISIO MENDES,PODE,MA,sim,AluisioMendesMA,NA,https://www.facebook.com/AluisioMendesOficial,ALUISIO GUIMARAES MENDES FILHO,nazareno
